name,location,logoUrl,score
Hawks,Atlanta,Hawks_Atlanta.gif,595.5714285714286
Bullets,Baltimore,5994.gif,0.0
Celtics,Boston,Celtics_Boston.gif,428.2105263157895
Braves,Buffalo,5451.gif,0.0
Stags,Chicago,5044.gif,0.0
Zephyrs,Chicago,3686juybgh18am0tf3nvv7hfg.gif,0.0
Packers,Chicago,5598.gif,0.0
Hornets,Charlotte,Hornets_Charlotte.gif,513.75
Bulls,Chicago,Bulls_Chicago.gif,444.05555555555554
Bobcats,Charlotte,tytgxvgwe3r0hwqaehb3lxef7.gif,411.2105263157895
Royals,Cincinnati,5379.gif,0.0
Cavaliers,Cleveland,Cavaliers_Cleveland.gif,465.1666666666667
Mavericks,Dallas,Mavericks_Dallas.gif,464.6666666666667
Pistons,Detroit,Pistons_Detroit.gif,550.6428571428571
Nuggets,Denver,Nuggets_Denver.gif,0.0
Golden State Warriors,San Francisco,Warriors_Golden_State.gif,446.1
Rockets,Houston,Rockets_Houston.gif,503.6470588235294
Pacers,Indiana,Pacers_Indiana.gif,550.8666666666667
Kings,Kansas City,5383.gif,410.0
Kings,Kansas City-Omaha,5382.gif,410.0
Clippers,Los Angeles,Clippers_Los_Angeles.gif,413.10526315789474
Lakers,Los Angeles,Lakers_Los_Angeles.gif,596.0714285714286
Grizzlies,Memphis,Grizzlies_Memphis.gif,494.3529411764706
Hawks,Milwaukee,5659.gif,595.5714285714286
Heat,Miami,Heat_Miami.gif,527.6
Lakers,Minneapolis,ehdguza6e3dn3h2ay4cbulnpn.gif,596.0714285714286
Bucks,Milwaukee,Bucks_Milwaukee.gif,421.5263157894737
Timberwolves,Minnesota,Timberwolves_Minnesota.gif,503.1875
Nets,New Jersey,hvkhsaffs9x9zre7gku4vmnte.gif,445.5882352941176
Hornets,New Orleans,legngwiheii4eld1u0agakxhc.gif,513.75
Jazz,New Orleans,5776.gif,569.8
Knicks,New York,Knicks_New_York.gif,418.65
Nets,New York,Nets_New_York.gif,445.5882352941176
Thunder,Oklahoma City,Thunder_Oklahoma_City.gif,462.3333333333333
Magic,Orlando,Magic_Orlando.gif,702.1666666666666
Warriors,Philadelphia,5509.gif,446.1
76ers,Philadelphia,76ers_Philadelphia.gif,500.875
Suns,Phoenix,Suns_Phoenix.gif,602.6
Trailblazers,Portland,Trailblazers_Portland.gif,423.42105263157896
Royals,Rochester,5377.gif,0.0
Kings,Sacramento,Kings_Sacramento.gif,410.0
Spurs,San Antonio,Spurs_San_Antonio.gif,488.94117647058823
Clippers,San Diego,5452.gif,413.10526315789474
Rockets,San Diego,4788.gif,503.6470588235294
Supersonics,Seattle,cxe7hh6lwjtpdhcoyiuc064sp.gif,0.0
Bombers,St. Louis,5042.gif,0.0
Hawks,St. Louis,lbr7pmgzcio7uqdwkwxch8l30.gif,595.5714285714286
Nationals,Syracuse,4600.gif,0.0
Huskies,Toronto,5039.gif,0.0
Raptors,Toronto,Raptors_Toronto.gif,568.9333333333333
Blackhawks,Tri-Cities,5658.gif,0.0
Jazz,Utah,Jazz_Utah.gif,569.8
Grizzlies,Vancouver,7hc558rh9vls8j6fam4hly46n.gif,494.3529411764706
Bullets,Washington,5603.gif,0.0
Wizards,Washington,Wizards_Washington.gif,328.8333333333333
